pid,pname,X_gcj02,Y_gcj02,X_wgs84,Y_wgs84,X_bd09,Y_bd09,city,province,comment,rankInCity,rankInChin
34933,法海寺,119.305609,26.080247,119.3008,26.0833,119.3121,26.0863,福州,福建省,1~10,302,34934
34934,赤桥公园,119.292409,26.141458,119.2876,26.1447,119.2988,26.1478,福州,福建省,1~10,303,34935
34935,后沙海滩,119.899668,26.322789,119.8954,26.3263,119.9061,26.329,福州,福建省,1~10,304,34936
34936,温泉博物馆,119.31377,26.099122,119.309,26.1022,119.3203,26.105,福州,福建省,1~10,305,34937
34937,福州温泉博物馆,119.313687,26.099658,119.3089,26.1028,119.3202,26.1056,福州,福建省,1~10,306,34938
34938,郭柏荫故居,119.298929,26.083537,119.2941,26.0866,119.3054,26.0897,福州,福建省,1~10,307,34939
34939,福州画院,119.305339,26.076873,119.3005,26.08,119.3118,26.083,福州,福建省,1~10,308,34940
34940,福建玫瑰谷,119.343277,26.052212,119.3384,26.0552,119.3499,26.0578,福州,福建省,1~10,309,34941
34941,金岚山,119.785348,25.552778,119.7808,25.5557,119.7918,25.5589,福州,福建省,1~10,310,34942
34942,快乐园,119.370893,26.148009,119.366,26.151,119.3774,26.154,福州,福建省,1~10,311,34943
34943,龙门峡谷景区,119.08434,25.914962,119.0794,25.9179,119.0909,25.9208,福州,福建省,1~10,312,34944
34944,永泰仙洞,118.982061,25.810014,118.9774,25.813,118.9886,25.8156,福州,福建省,1~10,313,34945
34945,孔元花世界花海,119.100041,26.235556,119.095,26.2387,119.1065,26.2413,福州,福建省,1~10,314,34946
34946,漳港海滩,119.667915,25.906836,119.6634,25.9099,119.6744,25.9128,福州,福建省,1~10,315,34947
34947,琅岐大桥,119.575493,26.05102,119.571,26.0543,119.5821,26.0567,福州,福建省,1~10,316,34948
34948,福建省非物质文化遗产博览苑,119.29667,26.082658,119.2919,26.0858,119.3032,26.0889,福州,福建省,1~10,317,34949
34949,国石馆,119.40067,26.249946,119.3957,26.253,119.4071,26.2563,福州,福建省,1~10,318,34950
